date,open,high,low,close,volume
5/8/2014,438.6789856,448.3989868,438.1430054,440.1690063,9446580
5/9/2014,440.178009,452.6919861,440.1430054,449.4609985,10347900
5/10/2014,450.4559937,455.7709961,448.4679871,454.4330139,6682600
5/11/2014,453.9200134,455.3389893,433.401001,438.8859863,12251700
5/12/2014,438.303009,442.2600098,434.2309875,441.4620056,7383770
5/13/2014,441.5310059,441.9760132,436.9670105,440.67099,7682670
5/14/2014,440.5920105,446.6589966,440.5029907,443.9719849,9472960
5/15/2014,444.1359863,449.7990112,443.6300049,447.2520142,7362980
5/16/2014,447.3859863,450.6610107,444.9639893,448.0580139,6475100
5/17/2014,448.1170044,451.980011,447.3009949,448.9030151,2945790
5/18/2014,448.7009888,449.7669983,444.7839966,446.2640076,2857830
5/19/2014,446.0759888,447.5549927,443.1000061,446.1809998,6242620
5/20/2014,446.3049927,491.4440002,446.0069885,485.723999,40327500
5/21/2014,485.7999878,494.368988,483.4890137,491.769989,14626000
5/22/2014,492.0490112,525.3560181,490.1910095,524.5789795,33086500
5/23/2014,525.7150269,541.9559937,520.0759888,520.2219849,34934700
5/24/2014,521.0510254,525.1699829,516.2810059,525.1380005,11499300
5/25/2014,525.2280273,576.4780273,525.2280273,571.5880127,47010300
5/26/2014,571.3930054,588.3889771,565.3319702,583.4240112,29959800
5/27/2014,582.5880127,589.5170288,554.434021,571.2440186,38032000
5/28/2014,571.914978,578.6240234,564.0869751,577.0620117,19289000
5/29/2014,576.3300171,577.0960083,561.5960083,568.1799927,18707800
5/30/2014,568.177002,618.4580078,568.1569824,615.3250122,31985400
5/31/2014,615.6870117,624.7150269,604.4710083,623.677002,15107100
6/1/2014,623.6929932,671.5130005,619.9060059,630.2290039,45259100
6/2/2014,629.6450195,665.4979858,618.7449951,660.617981,45450200
6/3/2014,660.5499878,674.1110229,650.7839966,667.6049805,40653700
6/4/2014,666.7739868,668.5629883,624.0889893,641.6140137,37731500
6/5/2014,641.0720215,663.526001,640.0900269,659.2579956,29621300
6/6/2014,659.28302,661.3660278,652.3040161,653.7020264,18680100
6/7/2014,653.5219727,656.9439697,644.9069824,654.9689941,15855300
6/8/2014,654.9940186,658.8839722,653.4699707,656.1400146,8614190
6/9/2014,655.6400146,657.7030029,644.3930054,649.1589966,19065400
6/10/2014,650.0419922,659.6149902,646.5640259,653.1500244,17913400
6/11/2014,653.1879883,657.039978,632.5469971,633.0200195,25163800
6/12/2014,633.4279785,638.1090088,573.2719727,586.9520264,50818800
6/13/2014,585.6959839,615.1370239,585.6959839,600.1630249,35700700
6/14/2014,600.7459717,601.2700195,549.8209839,577.3579712,38481200
6/15/2014,575.9279785,592.9370117,554.8909912,592.9370117,23580900
6/16/2014,592.6489868,608.7199707,587.0679932,592.1879883,28677500
6/17/2014,591.5859985,610.8889771,590.4000244,610.8640137,18597300
6/18/2014,609.7670288,615.8809814,604.3959961,607.9580078,17862000
6/19/2014,608.0700073,612.2410278,597.0180054,598.0709839,12803800
6/20/2014,597.4019775,599.7540283,587.7559814,594.1459961,18134100
6/21/2014,593.6779785,599.4619751,587.7369995,594.9920044,9256290
6/22/2014,595.9039917,605.9970093,594.6270142,602.2730103,10877700
6/23/2014,602.1610107,603.2119751,586.3430176,593.9840088,14053800
6/24/2014,593.9699707,596.9710083,582.3569946,582.3569946,14144900
6/25/2014,581.809021,583.598999,565.625,566.3359985,20687700
6/26/2014,566.1370239,581.6290283,564.7310181,581.1370239,14655900
6/27/2014,581.2969971,600.1240234,579.8850098,597.2609863,20814600
6/28/2014,599.0770264,604.4730225,595.9180298,596.5490112,13398100
6/29/2014,596.3319702,604.0759888,596.1619873,602.7150269,8897470
